# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-2.281e-4,-0.046,-4.562,0.046,4.562,0,0,0,0,0,0,32.32,106.764,9.791,91.304,0,0,0,3.092e4,8057.547,15.235,0.065,NaN,157.992,NaN,0.006,2.737e5,161.698,-4.827e-7,0.621,-1.817e-5,0.495,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.623e-6,13.081,134.391,90,0,2.004,33.904,867.369,351.845,0.01,0.004
0.02,2.949e-4,0.059,5.901,0.059,5.901,0,0,0,0,0,0,32.32,106.764,9.791,88.318,0,0,0,3.091e4,8051.093,15.231,0.065,NaN,157.977,NaN,0.006,2.744e5,485.095,1.036e-6,0.621,3.88e-5,0.495,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.271e-6,13.081,134.391,90,0,2.009,33.904,867.369,351.845,0.01,0.006
0.03,0.002,0.223,16.368,0.223,16.368,0,0,0,0,0,0,32.32,106.764,9.791,83.692,0,0,0,3.091e4,8044.64,15.228,0.065,NaN,157.963,NaN,0.006,2.767e5,808.492,5.281e-5,0.62,0.002,0.494,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.744e-5,13.081,134.391,90,0,2.014,33.904,867.369,351.845,0.01,0.007
0.04,0.005,0.491,26.84,0.491,26.84,0,0,0,0,0,0,32.32,106.764,9.791,76.333,0,0,0,3.09e4,8038.187,15.224,0.065,NaN,157.948,NaN,0.006,2.837e5,1131.889,5.168e-4,0.617,0.018,0.491,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.052e-5,13.081,134.391,90,0,2.019,33.904,867.369,351.845,0.01,0.008
0.05,0.012,0.864,37.316,0.864,37.316,0,0,0,0,0,0,32.32,106.764,9.791,66.884,0,0,0,3.089e4,8031.733,15.221,0.065,NaN,157.934,NaN,0.006,3.005e5,1455.286,0.002,0.611,0.077,0.485,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.065e-4,13.081,134.391,90,0,2.024,33.904,867.368,351.845,0.01,0.009
0.06,0.023,1.342,47.796,1.342,47.796,0,0,0,0,0,0,32.32,106.764,9.791,56.501,0,0,0,3.089e4,8025.28,15.218,0.065,NaN,157.92,NaN,0.007,3.32e5,1778.683,0.008,0.6,0.198,0.474,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.654e-4,13.081,134.391,90,0,2.028,33.904,867.368,351.845,0.01,0.01
0.07,0.039,1.925,58.28,1.925,58.28,0,0,0,0,0,0,32.32,106.764,9.791,46.538,0,0,0,3.088e4,8018.827,15.214,0.065,NaN,157.905,NaN,0.008,3.821e5,2102.08,0.018,0.585,0.356,0.459,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.372e-4,13.081,134.391,90,0,2.031,33.904,867.367,351.845,0.01,0.011
0.08,0.062,2.612,68.769,2.612,68.769,0,0,0,0,0,0,32.32,106.764,9.791,37.909,0,0,0,3.087e4,8012.373,15.211,0.065,NaN,157.891,NaN,0.009,4.521e5,2425.477,0.036,0.569,0.5,0.443,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.22e-4,13.081,134.391,90,0,2.034,33.904,867.365,351.845,0.01,0.012
0.09,0.092,3.372,76.003,3.372,76.003,0,0,0,0,0,0,32.32,106.764,9.791,31.143,0,0,0,3.086e4,8000.507,15.205,0.065,NaN,157.864,NaN,0.011,5.38e5,2647.848,0.061,0.553,0.596,0.427,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.156e-4,13.081,134.391,90,0,2.038,33.904,867.363,351.845,0.01,0.013
0.1,0.13,4.137,76.493,4.137,76.493,0,0,0,0,0,0,32.32,106.764,9.791,26.26,0,0,0,3.085e4,7987.288,15.198,0.065,NaN,157.834,NaN,0.013,6.299e5,2661.853,0.091,0.539,0.644,0.413,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.099e-4,13.081,134.391,90,0,2.041,33.904,867.361,351.844,0.01,0.014
0.11,0.175,4.905,76.779,4.905,76.779,0,0,0,0,0,0,32.32,106.764,9.791,22.749,0,0,0,3.084e4,7974.069,15.191,0.065,NaN,157.805,NaN,0.015,7.262e5,2669.543,0.124,0.527,0.662,0.401,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.045e-4,13.081,134.391,90,0,2.057,33.903,867.358,351.844,0.01,0.015
0.12,0.228,5.675,77.064,5.675,77.064,0,0,0,0,0,0,32.32,106.764,9.791,20.058,0,0,0,3.082e4,7960.85,15.184,0.065,NaN,157.775,NaN,0.017,8.249e5,2677.233,0.161,0.517,0.665,0.391,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.994e-4,13.081,134.391,90,0,2.072,33.903,867.355,351.844,0.01,0.016
0.13,0.288,6.448,77.35,6.448,77.35,0,0,0,0,0,0,32.32,106.764,9.791,17.938,0,0,0,3.081e4,7947.631,15.177,0.065,NaN,157.745,NaN,0.019,9.255e5,2684.924,0.2,0.508,0.66,0.382,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.947e-4,13.081,134.391,90,0,2.088,33.903,867.352,351.844,0.01,0.017
0.14,0.357,7.225,77.635,7.225,77.635,0,0,0,0,0,0,32.32,106.764,9.791,16.23,0,0,0,3.08e4,7934.412,15.17,0.065,NaN,157.716,NaN,0.021,1.027e6,2692.614,0.243,0.5,0.649,0.374,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.904e-4,13.081,134.391,90,0,2.103,33.902,867.348,351.844,0.01,0.018
0.15,0.433,8.004,77.921,8.004,77.921,0,0,0,0,0,0,32.32,106.764,9.791,14.826,0,0,0,3.078e4,7921.192,15.163,0.065,NaN,157.686,NaN,0.024,1.13e6,2700.305,0.287,0.493,0.634,0.367,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.864e-4,13.081,134.391,90,0,2.119,33.902,867.343,351.843,0.01,0.019
0.16,0.517,8.785,78.207,8.785,78.207,0,0,0,0,0,0,32.32,106.764,9.791,13.537,0,0,0,3.077e4,7907.973,15.156,0.065,NaN,157.656,NaN,0.026,1.234e6,2707.995,0.333,0.487,0.617,0.361,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.115,33.901,867.338,351.843,0.01,0.02
0.17,0.609,9.57,78.494,9.57,78.494,0,0,0,0,0,0,32.32,106.764,9.791,12.445,0,0,0,3.076e4,7894.754,15.149,0.065,NaN,157.626,NaN,0.028,1.338e6,2715.685,0.381,0.481,0.6,0.355,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.112,33.901,867.333,351.843,0.01,0.021
0.18,0.708,10.358,78.78,10.358,78.78,0,0,0,0,0,0,32.32,106.764,9.791,11.507,0,0,0,3.074e4,7881.535,15.142,0.065,NaN,157.597,NaN,0.03,1.443e6,2723.376,0.431,0.476,0.584,0.35,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.109,33.9,867.327,351.842,0.01,0.022
0.19,0.816,11.148,79.067,11.148,79.067,0,0,0,0,0,0,32.32,106.764,9.791,10.694,0,0,0,3.073e4,7868.316,15.135,0.065,NaN,157.567,NaN,0.032,1.549e6,2731.066,0.484,0.471,0.569,0.345,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.105,33.9,867.32,351.842,0.01,0.022
0.2,0.931,11.942,79.354,11.942,79.354,0,0,0,0,0,0,32.32,106.764,9.791,9.983,0,0,0,3.072e4,7855.096,15.128,0.065,NaN,157.537,NaN,0.034,1.656e6,2738.757,0.54,0.467,0.555,0.341,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.102,33.899,867.313,351.842,0.01,0.023
0.21,1.055,12.738,79.641,12.738,79.641,0,0,0,0,0,0,32.32,106.764,9.791,9.293,0,0,0,3.07e4,7841.877,15.121,0.065,NaN,157.507,NaN,0.037,1.762e6,2746.447,0.597,0.463,0.542,0.337,0.044,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,13.081,134.391,90,0,2.084,33.898,867.306,351.841,0.01,0.024
