# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-3.54E-04,-0.071,-7.081,0.071,7.081,0,0,0,0,0,0,28.61,-80.6,9.792,92.004,0,0,0,2.872e4,6913.174,24.997,0.063,NaN,75.164,NaN,0.006,4.4e5,77.861,-2.16E-06,0.614,-6.46E-05,0.533,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.066e-6,5.12,132.83,90,0,2.024,15,1013.25,340.389,0.01,0.009
0.02,-8.29E-05,-0.017,-1.657,0.017,1.657,0,0,0,0,0,0,28.61,-80.6,9.792,90.474,0,0,0,2.871e4,6909.229,24.993,0.063,NaN,75.159,NaN,0.006,4.351e5,233.584,-2.85E-08,0.615,-8.72E-07,0.534,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123e-6,5.12,132.83,90,0,2.003,15,1013.25,340.389,0.01,0.014
0.03,1.883e-4,0.038,3.768,0.038,3.768,0,0,0,0,0,0,28.61,-80.6,9.792,88.911,0,0,0,2.871e4,6905.283,24.988,0.063,NaN,75.153,NaN,0.006,4.306e5,389.307,3.36e-7,0.616,1.051e-5,0.535,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.823e-6,5.12,132.83,90,0,1.982,15,1013.25,340.389,0.01,0.017
0.04,0.001,0.13,9.194,0.13,9.194,0,0,0,0,0,0,28.61,-80.6,9.792,86.219,0,0,0,2.871e4,6901.338,24.984,0.063,NaN,75.148,NaN,0.006,4.269e5,545.03,1.347e-5,0.617,4.286e-4,0.536,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.659e-5,5.12,132.83,90,0,1.961,15,1013.25,340.389,0.01,0.02
0.05,0.003,0.276,14.622,0.276,14.622,0,0,0,0,0,0,28.61,-80.6,9.792,81.909,0,0,0,2.87e4,6897.392,24.98,0.063,NaN,75.142,NaN,0.006,4.256e5,700.753,1.252e-4,0.618,0.004,0.537,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.531e-5,5.12,132.83,90,0,1.94,15,1013.25,340.389,0.01,0.022
0.06,0.007,0.476,20.052,0.476,20.052,0,0,0,0,0,0,28.61,-80.6,9.792,76.231,0,0,0,2.87e4,6893.447,24.976,0.063,NaN,75.137,NaN,0.006,4.347e5,856.476,6.004e-4,0.615,0.018,0.534,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.098e-5,5.12,132.83,90,0,1.944,15,1013.249,340.389,0.01,0.025
0.07,0.013,0.731,25.483,0.731,25.483,0,0,0,0,0,0,28.61,-80.6,9.792,69.421,0,0,0,2.869e4,6889.501,24.972,0.063,NaN,75.131,NaN,0.006,4.518e5,1012.198,0.002,0.611,0.056,0.53,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.361e-5,5.12,132.83,90,0,1.947,15,1013.248,340.389,0.01,0.027
0.08,0.022,1.04,30.915,1.04,30.915,0,0,0,0,0,0,28.61,-80.6,9.792,61.933,0,0,0,2.869e4,6885.556,24.968,0.063,NaN,75.126,NaN,0.006,4.802e5,1167.921,0.005,0.604,0.127,0.523,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.332e-4,5.12,132.83,90,0,1.951,15,1013.247,340.389,0.01,0.03
0.09,0.034,1.403,36.252,1.403,36.252,0,0,0,0,0,0,28.61,-80.6,9.792,54.333,0,0,0,2.869e4,6880.674,24.962,0.063,NaN,75.119,NaN,0.007,5.226e5,1320.814,0.011,0.594,0.228,0.514,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.796e-4,5.12,132.83,90,0,1.954,15,1013.246,340.389,0.01,0.033
0.1,0.05,1.786,38.341,1.786,38.341,0,0,0,0,0,0,28.61,-80.6,9.792,47.63,0,0,0,2.868e4,6872.045,24.953,0.063,NaN,75.107,NaN,0.008,5.757e5,1380.327,0.019,0.584,0.335,0.503,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.287e-4,5.12,132.83,90,0,1.958,15,1013.244,340.389,0.01,0.035
0.11,0.07,2.174,38.851,2.174,38.851,0,0,0,0,0,0,28.61,-80.6,9.792,42.186,0,0,0,2.867e4,6863.416,24.944,0.063,NaN,75.095,NaN,0.009,6.374e5,1394.564,0.03,0.573,0.426,0.493,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.784e-4,5.12,132.83,90,0,1.971,15,1013.242,340.389,0.01,0.037
0.12,0.093,2.568,39.362,2.568,39.362,0,0,0,0,0,0,28.61,-80.6,9.792,37.68,0,0,0,2.866e4,6854.787,24.935,0.063,NaN,75.083,NaN,0.01,7.048e5,1408.801,0.043,0.563,0.499,0.483,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.288e-4,5.12,132.83,90,0,1.983,14.999,1013.239,340.389,0.01,0.04
0.13,0.121,2.967,39.873,2.967,39.873,0,0,0,0,0,0,28.61,-80.6,9.792,33.934,0,0,0,2.865e4,6846.158,24.926,0.063,NaN,75.071,NaN,0.011,7.767e5,1423.038,0.058,0.554,0.553,0.473,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.798e-4,5.12,132.83,90,0,1.996,14.999,1013.236,340.388,0.01,0.042
0.14,0.153,3.37,40.385,3.37,40.385,0,0,0,0,0,0,28.61,-80.6,9.792,30.794,0,0,0,2.864e4,6837.529,24.917,0.063,NaN,75.059,NaN,0.012,8.523e5,1437.275,0.074,0.545,0.592,0.464,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.315e-4,5.12,132.83,90,0,2.009,14.999,1013.232,340.388,0.01,0.044
0.15,0.188,3.779,40.897,3.779,40.897,0,0,0,0,0,0,28.61,-80.6,9.792,28.141,0,0,0,2.863e4,6828.901,24.907,0.063,NaN,75.047,NaN,0.013,9.31e5,1451.512,0.093,0.537,0.619,0.456,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.839e-4,5.12,132.83,90,0,2.021,14.999,1013.228,340.388,0.01,0.047
0.16,0.228,4.193,41.409,4.193,41.409,0,0,0,0,0,0,28.61,-80.6,9.792,25.78,0,0,0,2.863e4,6820.272,24.898,0.063,NaN,75.035,NaN,0.014,1.012e6,1465.749,0.113,0.529,0.638,0.449,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.369e-4,5.12,132.83,90,0,2.025,14.999,1013.223,340.388,0.01,0.049
0.17,0.272,4.613,41.921,4.613,41.921,0,0,0,0,0,0,28.61,-80.6,9.792,23.748,0,0,0,2.862e4,6811.643,24.889,0.063,NaN,75.023,NaN,0.015,1.095e6,1479.986,0.134,0.523,0.649,0.442,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.906e-4,5.12,132.83,90,0,2.029,14.998,1013.218,340.388,0.01,0.052
0.18,0.321,5.037,42.433,5.037,42.433,0,0,0,0,0,0,28.61,-80.6,9.792,21.983,0,0,0,2.861e4,6803.014,24.88,0.063,NaN,75.01,NaN,0.016,1.18e6,1494.223,0.157,0.516,0.654,0.435,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.449e-4,5.12,132.83,90,0,2.033,14.998,1013.212,340.388,0.01,0.054
0.19,0.373,5.466,42.946,5.466,42.946,0,0,0,0,0,0,28.61,-80.6,9.792,20.44,0,0,0,2.86e4,6794.385,24.871,0.063,NaN,74.998,NaN,0.017,1.267e6,1508.46,0.181,0.51,0.655,0.429,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.999e-4,5.12,132.83,90,0,2.037,14.998,1013.206,340.387,0.01,0.056
0.2,0.43,5.901,43.459,5.901,43.459,0,0,0,0,0,0,28.61,-80.6,9.792,19.081,0,0,0,2.859e4,6785.756,24.861,0.063,NaN,74.986,NaN,0.018,1.356e6,1522.697,0.207,0.504,0.653,0.424,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.555e-4,5.12,132.83,90,0,2.041,14.997,1013.2,340.387,0.01,0.059
0.21,0.491,6.34,43.972,6.34,43.972,0,0,0,0,0,0,28.61,-80.6,9.792,18.138,0,0,0,2.858e4,6777.127,24.852,0.063,NaN,74.974,NaN,0.02,1.449e6,1536.935,0.235,0.499,0.648,0.418,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.118e-4,5.12,132.83,90,0,2.077,14.997,1013.192,340.387,0.01,0.063
0.22,0.557,6.785,44.486,6.785,44.486,0,0,0,0,0,0,28.61,-80.6,9.792,17.296,0,0,0,2.857e4,6768.498,24.843,0.063,NaN,74.962,NaN,0.021,1.544e6,1551.172,0.264,0.494,0.642,0.413,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.687e-4,5.12,132.83,90,0,2.113,14.996,1013.185,340.387,0.01,0.066
0.23,0.627,7.235,44.999,7.235,44.999,0,0,0,0,0,0,28.61,-80.6,9.792,16.54,0,0,0,2.856e4,6759.87,24.834,0.063,NaN,74.95,NaN,0.022,1.639e6,1565.409,0.295,0.489,0.636,0.409,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.263e-4,5.12,132.83,90,0,2.149,14.996,1013.176,340.386,0.01,0.068
0.24,0.702,7.69,45.513,7.69,45.513,0,0,0,0,0,0,28.61,-80.6,9.792,15.858,0,0,0,2.856e4,6751.241,24.825,0.063,NaN,74.938,NaN,0.023,1.736e6,1579.646,0.327,0.485,0.629,0.404,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.846e-4,5.12,132.83,90,0,2.184,14.995,1013.168,340.386,0.01,0.071
0.25,0.781,8.15,46.028,8.15,46.028,0,0,0,0,0,0,28.61,-80.6,9.792,15.238,0,0,0,2.855e4,6742.612,24.815,0.063,NaN,74.926,NaN,0.025,1.835e6,1593.883,0.36,0.481,0.621,0.4,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.12,132.83,90,0,2.22,14.995,1013.158,340.386,0.01,0.077
0.26,0.865,8.616,46.542,8.616,46.542,0,0,0,0,0,0,28.61,-80.6,9.792,14.465,0,0,0,2.854e4,6733.983,24.806,0.063,NaN,74.914,NaN,0.026,1.933e6,1608.12,0.394,0.477,0.612,0.396,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.12,132.83,90,0,2.223,14.994,1013.149,340.385,0.01,0.081
0.27,0.953,9.086,47.049,9.086,47.049,0,0,0,0,0,0,28.61,-80.6,9.792,13.76,0,0,0,2.853e4,6725.18,24.797,0.063,NaN,74.901,NaN,0.027,2.032e6,1622.123,0.428,0.473,0.602,0.393,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.12,132.83,90,0,2.225,14.994,1013.138,340.385,0.01,0.084
0.28,1.046,9.559,47.287,9.559,47.287,0,0,0,0,0,0,28.61,-80.6,9.792,13.116,0,0,0,2.852e4,6715.681,24.786,0.063,NaN,74.888,NaN,0.029,2.132e6,1628.418,0.464,0.47,0.592,0.389,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.12,132.83,90,0,2.227,14.993,1013.127,340.385,0.01,0.086
0.295,1.195,10.27,47.426,10.27,47.426,-1.04E-05,0,1.04e-5,-180,0.001,0.095,28.61,-80.6,9.792,12.248,0,0.007,-1.40E-06,2.851e4,6701.432,24.771,0.063,78.158,74.868,0.643,0.031,2.283e6,1631.614,0.519,0.465,0.578,0.384,0.008,0.073,2.963,1.904,-4.34E-04,0,0,0,0,1.15e-6,0.001,5.12,132.83,90,0,2.231,14.992,1013.11,340.384,0.015,0.09
0.318,1.438,11.341,47.634,11.341,47.635,-6.61E-05,0,6.607e-5,-180,0.004,0.098,28.61,-80.6,9.792,11.017,0,0.02,2.746e-6,2.849e4,6680.059,24.748,0.063,78.667,74.837,0.748,0.034,2.509e6,1636.409,0.605,0.458,0.557,0.378,0.008,0.073,2.539,1.899,-2.53E-04,0,0,0,0,7.347e-6,0.001,5.12,132.83,90,-0.002,2.212,14.991,1013.081,340.383,0.023,0.091
0.351,1.848,12.958,47.947,12.958,47.947,-2.43E-04,0,2.429e-4,-180,0.007,0.101,28.61,-80.6,9.792,9.491,0,0.044,6.796e-6,2.845e4,6647.999,24.714,0.063,79.384,74.792,0.897,0.039,2.853e6,1643.6,0.749,0.454,0.534,0.373,0.008,0.073,2.051,1.84,-4.84E-04,0,0,0,0,2.709e-5,0.002,5.12,132.83,89.999,-0.003,2.174,14.988,1013.033,340.382,0.034,0.093
0.401,2.556,15.376,48.411,15.376,48.411,-7.20E-04,0,7.195e-4,-180,0.012,0.108,28.61,-80.6,9.792,7.957,0,0.089,2.885e-6,2.841e4,6600.503,24.663,0.063,80.22,74.725,1.073,0.046,3.372e6,1654.308,1.01,0.454,0.515,0.373,0.008,0.073,1.604,1.722,-7.55E-05,0,0,0,0,8.001e-5,0.002,5.12,132.83,89.995,-0.004,2.163,14.983,1012.95,340.379,0.05,0.094
0.451,3.386,17.821,48.949,17.821,48.949,-0.001,-7.06E-09,0.001,-180,0.018,0.112,28.61,-80.6,9.792,6.811,0,0.146,2.223e-5,2.836e4,6552.919,24.611,0.063,80.936,74.657,1.226,0.053,3.898e6,1667.094,1.315,0.454,0.502,0.373,0.008,0.073,1.298,1.592,-4.89E-04,0,0,0,0,1.618e-4,0.002,5.12,132.83,89.99,-0.004,2.15,14.978,1012.853,340.376,0.05,0.096
0.501,4.339,20.294,49.499,20.294,49.499,-0.002,-1.66E-08,0.002,-180,0.024,0.13,28.61,-80.6,9.792,6.534,0,0.217,4.366e-6,2.831e4,6504.07,24.558,0.063,81.123,74.587,1.277,0.06,4.436e6,1680.178,1.693,0.454,0.499,0.373,0.008,0.074,1.228,1.568,2.751e-4,0,0,0,0,2.785e-4,0.003,5.12,132.83,89.981,-0.003,2.355,14.972,1012.741,340.372,0.05,0.098
0.551,5.416,22.795,50.059,22.795,50.059,-0.004,-3.28E-08,0.004,-180,0.03,0.116,28.61,-80.6,9.792,5.463,0,0.303,-1.43E-05,2.826e4,6455.221,24.505,0.063,81.901,74.517,1.442,0.067,4.972e6,1693.495,2.077,0.454,0.487,0.373,0.008,0.074,0.971,1.399,2.362e-4,0,0,0,0,4.317e-4,0.003,5.12,132.83,89.968,-0.002,2.223,14.965,1012.615,340.368,0.05,0.102
0.601,6.619,25.323,50.62,25.323,50.62,-0.005,-5.69E-08,0.005,-179.999,0.035,0.087,28.61,-80.6,9.792,4.387,0,0.397,-2.83E-05,2.821e4,6406.372,24.451,0.062,82.783,74.447,1.628,0.075,5.514e6,1706.813,2.5,0.454,0.477,0.373,0.008,0.074,0.734,1.194,3.913e-4,0,0,0,0,6.001e-4,0.003,5.12,132.83,89.95,-8.28E-04,2,14.957,1012.474,340.363,0.05,0.104
0.651,7.949,27.88,51.176,27.88,51.176,-0.007,-8.89E-08,0.007,-179.999,0.039,0.071,28.61,-80.6,9.792,3.92,0,0.498,1.783e-5,2.816e4,6356.917,24.397,0.062,83.205,74.375,1.725,0.082,6.067e6,1719.972,3,0.454,0.472,0.373,0.008,0.074,0.638,1.1,1.458e-4,0,0,0,0,7.801e-4,0.004,5.12,132.83,89.928,1.877e-4,1.984,14.948,1012.318,340.358,0.05,0.107
0.701,9.408,30.462,51.694,30.462,51.694,-0.009,-1.26E-07,0.009,-179.999,0.042,0.055,28.61,-80.6,9.792,3.667,0,0.612,-6.99E-05,2.811e4,6306.763,24.342,0.062,83.445,74.303,1.786,0.09,6.627e6,1732.04,3.564,0.454,0.47,0.373,0.008,0.074,0.588,1.049,-4.71E-04,0,0,0,0,9.879e-4,0.004,5.12,132.83,89.9,0.001,2.048,14.939,1012.147,340.352,0.05,0.11
0.751,10.996,33.07,52.205,33.07,52.205,-0.012,-1.65E-07,0.012,-179.999,0.044,0.022,28.61,-80.6,9.792,3.259,0,0.738,1.775e-5,2.806e4,6256.609,24.287,0.062,83.847,74.23,1.878,0.097,7.19e6,1743.898,4.169,0.454,0.467,0.373,0.008,0.074,0.51,0.956,-2.38E-04,0,0,0,0,0.001,0.004,5.12,132.83,89.866,0.002,2.005,14.929,1011.96,340.346,0.05,0.114
0.801,12.716,35.704,52.715,35.704,52.715,-0.014,-2.01E-07,0.014,-179.999,0.044,0.016,28.61,-80.6,9.792,2.967,0,0.875,4.226e-5,2.801e4,6206.456,24.231,0.062,84.149,74.157,1.952,0.105,7.76e6,1755.757,4.836,0.454,0.465,0.372,0.008,0.074,0.456,0.888,-6.51E-06,0,0,0,0,0.001,0.005,5.12,132.83,89.826,0.001,2.003,14.917,1011.759,340.339,0.05,0.116
0.851,14.567,38.362,53.211,38.362,53.211,-0.016,-2.31E-07,0.016,-179.999,0.043,0.05,28.61,-80.6,9.792,2.871,0,1.026,-5.75E-05,2.796e4,6155.297,24.174,0.062,84.255,74.082,1.987,0.113,8.336e6,1767.149,5.574,0.454,0.465,0.372,0.008,0.074,0.438,0.869,2.699e-4,0,0,0,0,0.002,0.005,5.12,132.83,89.779,0.001,2.115,14.905,1011.542,340.332,0.05,0.119
0.901,16.552,41.044,53.679,41.044,53.679,-0.018,-2.55E-07,0.018,-179.999,0.039,0.1,28.61,-80.6,9.792,2.707,0,1.194,-1.30E-04,2.791e4,6103.982,24.117,0.062,84.434,74.006,2.037,0.121,8.916e6,1777.774,6.365,0.455,0.464,0.372,0.008,0.074,0.409,0.831,5.943e-5,0,0,0,0,0.002,0.005,5.12,132.83,89.723,0.001,2.178,14.892,1011.309,340.324,0.05,0.121
0.951,18.672,43.749,54.146,43.749,54.147,-0.02,-2.67E-07,0.02,-179.999,0.032,0.172,28.61,-80.6,9.792,2.441,0,1.375,5.537e-5,2.786e4,6052.667,24.059,0.062,84.73,73.931,2.109,0.129,9.501e6,1788.387,7.205,0.455,0.462,0.372,0.008,0.075,0.363,0.763,-1.09E-04,0,0,0,0,0.002,0.006,5.12,132.83,89.659,0.001,2.158,14.879,1011.06,340.315,0.05,0.123
1.001,20.928,46.477,54.61,46.477,54.611,-0.021,-2.62E-07,0.021,-179.999,0.021,0.261,28.61,-80.6,9.792,2.152,0,1.56,6.179e-5,2.781e4,6001.079,24.001,0.062,85.065,73.854,2.19,0.137,1.009e7,1798.891,8.1,0.455,0.461,0.372,0.008,0.075,0.314,0.684,-7.19E-05,0,0,0,0,0.003,0.006,5.12,132.83,89.586,8.802e-4,2.104,14.864,1010.796,340.306,0.05,0.124
1.051,23.32,49.226,55.007,49.226,55.008,-0.022,-2.41E-07,0.022,-179.999,0.006,0.35,28.61,-80.6,9.792,2.01,0,1.753,-1.11E-04,2.775e4,5948.806,23.942,0.062,85.238,73.777,2.239,0.145,1.068e7,1807.506,9.072,0.455,0.46,0.372,0.008,0.075,0.29,0.646,-4.55E-04,0,0,0,0,0.003,0.006,5.12,132.83,89.503,7.92e-4,2.161,14.848,1010.515,340.297,0.05,0.126
1.101,25.851,51.992,55.377,51.992,55.379,-0.022,-2.00E-07,0.022,-179.999,0.014,0.463,28.61,-80.6,9.792,1.781,0,1.952,1.951e-5,2.77e4,5896.533,23.883,0.062,85.52,73.699,2.309,0.153,1.128e7,1815.435,10.096,0.455,0.459,0.372,0.008,0.075,0.253,0.581,2.182e-4,0,0,0,0,0.003,0.007,5.12,132.83,89.41,8.158e-4,2.138,14.832,1010.218,340.287,0.05,0.127
1.151,28.52,54.778,55.747,54.778,55.75,-0.02,-1.30E-07,0.02,-180,0.041,0.594,28.61,-80.6,9.792,1.545,0,2.15,-2.30E-04,2.765e4,5844.26,23.824,0.062,85.819,73.62,2.383,0.161,1.188e7,1823.363,11.181,0.455,0.459,0.372,0.008,0.075,0.216,0.511,2.99e-4,0,0,0,0,0.004,0.007,5.12,132.83,89.308,9.816e-4,2.099,14.815,1009.905,340.277,0.05,0.129
1.201,31.329,57.58,56.085,57.58,56.09,-0.017,-1.48E-08,0.017,-180,0.074,0.74,28.61,-80.6,9.792,1.321,3.015e-7,2.341,-4.17E-05,2.76e4,5791.554,23.764,0.062,86.114,73.541,2.456,0.169,1.249e7,1830.425,12.332,0.456,0.458,0.372,0.008,0.076,0.182,0.444,4.92e-4,0,0,0,0,0.004,0.007,5.12,132.83,89.196,0.001,2.063,14.796,1009.576,340.265,0.05,0.131
1.251,34.278,60.394,56.326,60.394,56.333,-0.013,1.805e-7,0.013,179.999,0.115,0.903,28.61,-80.6,9.792,1.084,0,2.521,-2.75E-04,2.754e4,5738.65,23.703,0.062,86.437,73.461,2.534,0.178,1.309e7,1834.84,13.545,0.456,0.457,0.372,0.008,0.076,0.147,0.368,9.366e-5,0,0,0,0,0.004,0.008,5.12,132.83,89.074,0.002,2.004,14.777,1009.23,340.254,0.05,0.133
1.301,37.369,63.22,56.558,63.22,56.568,-0.006,4.926e-7,0.006,179.995,0.164,1.063,28.61,-80.6,9.792,0.961,3.905e-7,2.691,-7.47E-05,2.749e4,5685.745,23.642,0.062,86.612,73.381,2.584,0.186,1.37e7,1839.073,14.833,0.456,0.457,0.372,0.008,0.076,0.129,0.33,3.171e-4,0,0,0,0,0.004,0.008,5.12,132.83,88.944,0.002,2.063,14.757,1008.867,340.242,0.05,0.135
1.351,40.601,66.057,56.787,66.058,56.801,0.004,9.67e-7,0.004,0.014,0.222,1.248,28.61,-80.6,9.792,0.772,0,2.851,-2.84E-04,2.744e4,5632.816,23.581,0.062,86.884,73.301,2.653,0.194,1.431e7,1843.303,16.18,0.456,0.457,0.372,0.008,0.076,0.102,0.268,2.642e-4,0,0,0,0,0.005,0.008,5.12,132.83,88.805,0.002,2.047,14.736,1008.488,340.229,0.05,0.138
1.401,43.975,68.905,56.992,68.906,57.011,0.017,1.649e-6,0.017,0.006,0.29,1.466,28.61,-80.6,9.792,0.482,0,2.977,-5.40E-04,2.738e4,5579.529,23.519,0.061,87.313,73.219,2.753,0.203,1.493e7,1846.898,17.586,0.456,0.457,0.371,0.008,0.077,0.063,0.168,3.634e-4,0,0,0,0,0.005,0.009,5.12,132.83,88.659,0.003,1.903,14.714,1008.093,340.216,0.05,0.14
1.451,47.491,71.762,57.177,71.763,57.201,0.033,2.596e-6,0.033,0.004,0.368,1.661,28.61,-80.6,9.792,0.377,2.955e-7,3.073,-5.16E-04,2.733e4,5526.243,23.458,0.061,87.48,73.138,2.801,0.211,1.554e7,1849.998,19.074,0.457,0.457,0.371,0.009,0.077,0.049,0.132,3.403e-4,0,0,0,0,0.005,0.009,5.12,132.83,88.508,0.003,1.973,14.691,1007.68,340.202,0.05,0.143
1.501,51.151,74.629,57.359,74.63,57.39,0.054,3.871e-6,0.054,0.004,0.457,1.887,28.61,-80.6,9.792,0.166,0,3.137,-0.001,2.728e4,5472.956,23.395,0.061,87.812,73.056,2.882,0.219,1.616e7,1853.099,20.623,0.457,0.457,0.371,0.009,0.077,0.021,0.057,3.46e-5,0,0,0,0,0.004,0.01,5.12,132.83,88.352,0.003,1.906,14.668,1007.251,340.187,0.05,0.146
1.551,54.954,77.503,57.521,77.505,57.559,0.079,5.516e-6,0.079,0.004,0.557,2.095,28.61,-80.6,9.792,0.073,4.538e-7,3.166,-0.003,2.722e4,5419.638,23.333,0.061,87.967,72.973,2.929,0.228,1.677e7,1855.721,22.247,0.457,0.457,0.371,0.009,0.077,0.009,0.023,-3.67E-04,0,0,0,0,0.004,0.01,5.12,132.83,88.195,0.003,1.985,14.643,1006.805,340.172,0.05,0.149
1.601,58.901,80.379,57.548,80.382,57.594,0.11,7.576e-6,0.11,0.004,0.667,2.307,28.61,-80.6,9.792,0.037,0,-3.169,-0.006,2.717e4,5366.28,23.27,0.061,88.036,72.891,2.958,0.236,1.739e7,1854.73,23.935,0.457,0.457,0.371,0.009,0.078,0.005,0.017,1.352e-4,0,0,0,0,-0.004,0.01,5.12,132.83,88.036,0.003,2.037,14.617,1006.342,340.157,0.05,0.151
1.651,62.992,83.255,57.544,83.258,57.599,0.146,1.009e-5,0.146,0.004,0.788,2.532,28.61,-80.6,9.792,0.184,-5.27E-07,-3.129,-8.02E-04,2.712e4,5312.922,23.207,0.061,87.817,72.808,2.932,0.245,1.801e7,1852.995,25.686,0.458,0.458,0.371,0.009,0.078,0.023,0.072,1.094e-4,0,0,0,0,-0.003,0.011,5.12,132.83,87.879,0.003,2.028,14.591,1005.862,340.141,0.05,0.153
1.701,67.227,86.13,57.537,86.135,57.602,0.189,1.31e-5,0.189,0.004,0.92,2.75,28.61,-80.6,9.792,0.299,4.889e-7,-3.042,-6.78E-04,2.706e4,5259.565,23.144,0.061,87.653,72.724,2.916,0.253,1.862e7,1851.26,27.503,0.458,0.458,0.371,0.009,0.078,0.038,0.115,7.288e-5,0,0,0,0,-0.003,0.011,5.12,132.83,87.724,0.003,2.053,14.563,1005.365,340.124,0.05,0.155
1.751,71.605,89.006,57.538,89.012,57.615,0.238,1.666e-5,0.238,0.004,1.063,2.973,28.61,-80.6,9.792,0.434,-4.59E-07,-2.9,-5.21E-05,2.701e4,5206.314,23.081,0.061,87.462,72.641,2.895,0.262,1.924e7,1849.859,29.386,0.458,0.458,0.37,0.009,0.079,0.056,0.166,4.431e-5,0,0,0,0,-0.003,0.011,5.12,132.83,87.575,0.003,2.03,14.535,1004.852,340.107,0.05,0.156
1.801,76.127,91.882,57.562,91.89,57.649,0.295,2.083e-5,0.295,0.004,1.216,3.17,28.61,-80.6,9.792,0.499,0,-2.71,-5.24E-04,2.696e4,5153.085,23.017,0.061,87.379,72.557,2.895,0.27,1.986e7,1849.088,31.332,0.458,0.459,0.37,0.009,0.079,0.065,0.191,9.592e-5,0,0,0,0,-0.002,0.012,5.12,132.83,87.435,0.003,2.098,14.505,1004.322,340.089,0.05,0.158
1.851,80.793,94.76,57.58,94.77,57.681,0.36,2.565e-5,0.36,0.004,1.381,3.411,28.61,-80.6,9.792,0.709,-3.02E-07,-2.445,-4.40E-04,2.69e4,5099.857,22.953,0.061,87.087,72.473,2.854,0.279,2.047e7,1848.333,33.356,0.459,0.459,0.37,0.009,0.079,0.094,0.27,-3.16E-05,0,0,0,0,-0.002,0.012,5.12,132.83,87.306,0.003,1.904,14.475,1003.774,340.071,0.05,0.159
