# Simulation 6 (Up to date)
# 1058 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.2 m/s)
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.162,3194.524
16.212,3200.243
16.262,3205.934
16.312,3211.597
16.362,3217.233
16.412,3222.84
16.462,3228.42
16.512,3233.972
16.562,3239.497
16.612,3244.994
16.662,3250.464
16.712,3255.906
16.762,3261.32
16.812,3266.707
16.862,3272.067
16.912,3277.4
16.962,3282.705
17.012,3287.983
17.062,3293.233
17.112,3298.456
17.162,3303.652
17.212,3308.821
17.262,3313.963
17.312,3319.078
17.362,3324.165
17.412,3329.226
17.462,3334.259
17.512,3339.266
17.562,3344.245
17.612,3349.198
17.662,3354.123
17.712,3359.022
17.762,3363.894
17.812,3368.739
17.862,3373.557
17.912,3378.348
17.962,3383.113
18.012,3387.851
18.062,3392.562
18.112,3397.246
18.162,3401.904
18.212,3406.535
18.262,3411.14
18.312,3415.718
18.362,3420.269
18.412,3424.794
18.462,3429.293
18.512,3433.765
18.562,3438.21
18.612,3442.629
18.662,3447.022
18.712,3451.388
18.762,3455.728
18.812,3460.042
18.862,3464.33
18.912,3468.591
18.962,3472.826
19.012,3477.034
19.062,3481.217
19.112,3485.373
19.162,3489.503
19.212,3493.607
19.262,3497.685
19.312,3501.737
19.362,3505.763
19.412,3509.763
19.462,3513.736
19.512,3517.684
19.562,3521.606
19.612,3525.502
19.662,3529.371
19.712,3533.215
19.762,3537.033
19.812,3540.826
19.862,3544.592
19.912,3548.332
19.962,3552.047
20.012,3555.736
20.062,3559.399
20.112,3563.036
20.162,3566.648
20.212,3570.233
20.262,3573.794
20.312,3577.328
20.362,3580.837
20.412,3584.32
20.462,3587.777
20.512,3591.209
20.562,3594.615
20.612,3597.996
20.662,3601.351
20.712,3604.68
20.762,3607.984
20.812,3611.262
20.862,3614.515
20.912,3617.743
20.962,3620.945
21.012,3624.121
21.062,3627.272
21.112,3630.398
21.162,3633.498
21.212,3636.573
21.262,3639.623
21.312,3642.647
21.362,3645.646
21.412,3648.619
21.462,3651.567
21.512,3654.49
21.562,3657.388
21.612,3660.26
21.662,3663.107
21.712,3665.929
21.762,3668.726
21.812,3671.497
21.862,3674.244
21.912,3676.965
21.962,3679.661
22.012,3682.332
22.062,3684.977
22.112,3687.598
22.162,3690.193
22.212,3692.764
22.262,3695.309
22.312,3697.829
22.362,3700.324
22.412,3702.795
22.462,3705.24
22.512,3707.66
22.562,3710.055
22.612,3712.425
22.662,3714.77
22.712,3717.09
22.762,3719.386
22.812,3721.656
22.862,3723.901
22.912,3726.122
22.962,3728.317
23.012,3730.488
23.062,3732.633
23.112,3734.754
23.162,3736.85
23.212,3738.921
23.262,3740.967
23.312,3742.988
23.362,3744.985
23.412,3746.956
23.462,3748.903
23.512,3750.825
23.562,3752.722
23.612,3754.595
23.662,3756.442
23.712,3758.265
23.762,3760.063
23.812,3761.837
23.862,3763.585
23.912,3765.309
23.962,3767.008
24.012,3768.682
24.062,3770.332
24.112,3771.957
24.162,3773.557
24.212,3775.132
24.262,3776.683
24.312,3778.209
24.362,3779.711
24.412,3781.187
24.462,3782.64
24.512,3784.067
24.562,3785.47
24.612,3786.848
24.662,3788.202
24.712,3789.531
24.762,3790.835
24.812,3792.115
24.862,3793.37
24.912,3794.6
24.962,3795.806
25.012,3796.987
25.062,3798.144
25.112,3799.276
25.162,3800.384
25.212,3801.467
25.262,3802.526
25.312,3803.56
25.362,3804.569
25.412,3805.554
25.462,3806.515
25.512,3807.451
25.562,3808.362
25.612,3809.249
25.662,3810.112
25.712,3810.949
25.762,3811.763
25.812,3812.552
25.862,3813.316
25.912,3814.056
25.962,3814.772
26.012,3815.463
26.062,3816.13
26.112,3816.772
26.162,3817.389
26.212,3817.983
26.262,3818.552
26.312,3819.096
26.362,3819.616
26.412,3820.111
26.462,3820.583
26.512,3821.029
26.562,3821.452
26.612,3821.85
26.662,3822.223
26.712,3822.572
26.762,3822.897
26.812,3823.197
26.862,3823.473
26.912,3823.725
26.962,3823.953
27.012,3824.156
27.062,3824.334
27.112,3824.489
27.162,3824.619
27.212,3824.724
27.262,3824.806
27.312,3824.863
27.362,3824.895
# Event APOGEE occurred at t=27.412 seconds
27.412,3824.904
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.413 seconds
27.462,3824.887
27.467,3824.884
27.967,3823.361
28.467,3819.495
28.877,3814.737
29.206,3810.037
29.515,3805.023
29.854,3798.965
30.218,3791.931
30.633,3783.388
31.133,3772.548
31.633,3761.296
32.133,3749.786
32.633,3738.118
33.133,3726.358
33.633,3714.543
34.133,3702.698
34.633,3690.838
35.133,3678.971
35.633,3667.102
36.133,3655.235
36.633,3643.372
37.133,3631.515
37.633,3619.663
38.133,3607.819
38.633,3595.981
39.133,3584.15
39.633,3572.326
40.133,3560.509
40.633,3548.699
41.133,3536.897
41.633,3525.102
42.133,3513.313
42.633,3501.532
43.133,3489.758
43.633,3477.991
44.133,3466.23
44.633,3454.478
45.133,3442.732
45.633,3430.995
46.133,3419.264
46.633,3407.541
47.133,3395.824
47.633,3384.115
48.133,3372.414
48.633,3360.72
49.133,3349.033
49.633,3337.354
50.133,3325.682
50.633,3314.017
51.133,3302.359
51.633,3290.708
52.133,3279.064
52.633,3267.427
53.133,3255.797
53.633,3244.174
54.133,3232.558
54.633,3220.949
55.133,3209.347
55.633,3197.751
56.133,3186.163
56.633,3174.582
57.133,3163.008
57.633,3151.44
58.133,3139.879
58.633,3128.325
59.133,3116.778
59.633,3105.238
60.133,3093.705
60.633,3082.178
61.133,3070.659
61.633,3059.146
62.133,3047.64
62.633,3036.14
63.133,3024.647
63.633,3013.16
64.133,3001.68
64.633,2990.207
65.133,2978.74
65.633,2967.28
66.133,2955.827
66.633,2944.381
67.133,2932.942
67.633,2921.509
68.133,2910.084
68.633,2898.665
69.133,2887.253
69.633,2875.848
70.133,2864.449
70.633,2853.058
71.133,2841.673
71.633,2830.295
72.133,2818.924
72.633,2807.559
73.133,2796.201
73.633,2784.85
74.133,2773.506
74.633,2762.168
75.133,2750.837
75.633,2739.512
76.133,2728.194
76.633,2716.882
77.133,2705.577
77.633,2694.278
78.133,2682.986
78.633,2671.701
79.133,2660.421
79.633,2649.149
80.133,2637.882
80.633,2626.622
81.133,2615.369
81.633,2604.121
82.133,2592.88
82.633,2581.646
83.133,2570.418
